2018-07-27 10:01:55 install libsmartcols1:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:55 status half-installed libsmartcols1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:56 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:56 status unpacked libsmartcols1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:56 install libuuid1:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:56 status half-installed libuuid1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:56 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:56 status unpacked libuuid1:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:56 install mount:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:56 status half-installed mount:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:57 status unpacked mount:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:57 status unpacked mount:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:57 install util-linux:armhf <none> 2.29.2-1+deb9u1
2018-07-27 10:01:57 status half-installed util-linux:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:59 status unpacked util-linux:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:59 status unpacked util-linux:armhf 2.29.2-1+deb9u1
2018-07-27 10:01:59 install liblzma5:armhf <none> 5.2.2-1.2+b1
2018-07-27 10:01:59 status half-installed liblzma5:armhf 5.2.2-1.2+b1
2018-07-27 10:01:59 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2018-07-27 10:01:59 status unpacked liblzma5:armhf 5.2.2-1.2+b1
2018-07-27 10:02:00 install zlib1g:armhf <none> 1:1.2.8.dfsg-5
